Feature,Importance value
LOS,0.25303773169733634
AGE,0.06509353143256737
FRSTUSE1,0.05317716183136778
PSOURCE,0.04705618633591274
SUB2,0.04390780909074353
DSMCRIT,0.04352058975915345
EDUC,0.04133329347291621
FREQ_ATND_SELF_HELP,0.03762073177746185
REGION,0.0364668513398242
LIVARAG,0.03335855751591178
SUB1,0.032013861369296265
FREQ1,0.031405339559277955
ROUTE1,0.02935138530161309
EMPLOY,0.0291443520099684
MARSTAT,0.02843273854451219
SERVICES,0.02594774400132455
RACE,0.025018023237351517
GENDER,0.018623080322940834
PSYPROB,0.018123005972225957
NOPRIOR,0.017771978917376918
MARFLG,0.016867273264444912
ALCDRUG,0.0144806536292173
COKEFLG,0.012152315176197527
MTHAMFLG,0.01194886854397683
OPSYNFLG,0.010444823103392129
HERFLG,0.008953736253040759
ALCFLG,0.008490296486724136
VET,0.006258080053923592
DISYR,0.0
