Year,NN loss,NN accuracy,Precision
2015.0,0.624,0.674,0.816
2016.0,0.601,0.658,0.823
2017.0,0.527,0.742,0.875
2018.0,0.532,0.731,0.865
2019.0,0.54,0.716,0.87
