Year,NN loss,NN accuracy,Precision,RF Training Score,RF Testing Score
2015,0.624,0.674,0.816,0.977,0.721
2016,0.601,0.658,0.823,0.979,0.761
2017,0.527,0.742,0.875,0.977,0.778
2018,0.532,0.731,0.865,0.977,0.77
2019,0.54,0.716,0.87,0.977,0.757
